id;Type of study;Gender;Age;Study Year;Finance;Housing;Sport;Age of first glass;Age drunk for the first time;have you ever drink alcool;Which kind of alcool do you drink most often;Frequency;When you drink, how many glasses;how often;when: family events;when:students party;when:bar-disco;when:home;when:sport or culture events;when:outside(beach, etc…);withwho:Alone;withwho:friends;withwho:family;why:fun pleasure;why:todo like everybody;why:for the effects;why:to get confidence;why:because i need it;due to alcool: Have you ever forgotten a part of your party;due to alcool: fallen, vomit, ethylic coma ;due to alcool: have non-protected sexual intercourse;due to alcool: being harrassed or stolen;due to alcool: have a car accident;after having drink: drive a car;due to alcool:been admitted to an ER;Do you agree: One cannot get drunk with cider;Do you agree: Drinking Champagne is safe;Do you agree: No danger in being drunk once a week;Do you agree: we have more fun without alcool;Study level;Frequency of being drunk;Frequency Alcool consumption;origin
15;Social Sciences;Female;25;3;Average;Colocation;;15;15;Yes;Biere;2 a 4 fois par mois;4;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
16;Human sciences;Female;27;4;Bad;Appartement seul;Yes;12;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;Yes;No;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
17;Social Sciences;Female;21;3;Good;Colocation;Yes;15;16;Yes;Biere;2 a 3 fois par semaine;2;1 fois par month or moins;No;No;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;2/week or +;Bretagne
18;Human sciences;Male;21;3;Average;Cite Universitaire;No;12;14;Yes;Alcool fort (vodka, pastis, whisky, liqueur);Au moins 4 fois par semaine;30;Au moins 4 fois par semaine;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;France hors Bretagne
19;Human sciences;Male;20;2;Average;Appartement seul;Yes;10;10;Yes;Biere;Au moins 4 fois par semaine;28;2 a 3 fois par semaine;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
20;Arts and communication;Female;18;1;Good;Domicile parental;Yes;14;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;4;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
21;Human sciences;Male;19;2;Good;Colocation;Yes;10;10;Yes;Biere;Au moins 4 fois par semaine;30;2 a 3 fois par semaine;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
22;Foreign languages;Female;23;1;Average;Appartement seul;No;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;Yes;No;Yes;Yes;Licence;;;France hors Bretagne
23;Human sciences;Female;21;2;Good;Appartement seul;Yes;14;16;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
24;Arts and communication;Female;18;1;Good;Colocation;Yes;16;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;3;2 a 4 fois par mois;Yes;No;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;2/week or +;Bretagne
25;Foreign languages;Female;26;4;Good;Appartement en couple;Yes;13;15;Yes;Wine;2 to 4 times per month;5;;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Master;;4/month or -;France not Brittany
26;Arts and communication;Female;20;3;Good;Domicile parental;Yes;17;17;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
27;Arts and communication;Female;21;3;Average;Domicile parental;Yes;14;14;Yes;Biere;2 a 4 fois par mois;2;2 a 4 fois par mois;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
28;Arts and communication;Female;20;3;Average;Appartement seul;Yes;14;14;Yes;Biere;2 a 4 fois par mois;5;2 a 4 fois par mois;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;Yes;Licence;15 days or +;4/month or -;France hors Bretagne
29;Foreign languages;Female;21;3;Good;Colocation;No;13;20;Yes;Biere;1 fois par month or moins;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
30;Foreign languages;Male;22;3;Average;Colocation;No;16;18;Yes;Beer;2 to 4 times per month;2;1 time per month or less;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;;Licence;once a month or -;4/month or -;France not Brittany
31;Medical school;Male;20;3;Average;Colocation;Yes;12;16;Yes;Biere;2 a 4 fois par mois;5;1 fois par month or moins;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
32;Medical school;Female;18;1;Good;Appartement seul;Yes;13;13;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;1 fois par month or moins;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
33;Medical school;Female;20;1;Good;Cite Universitaire;No;15;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
34;Medical school;Female;18;1;Good;Appartement seul;Yes;16;;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;2 a 4 fois par mois;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Licence;15 days or +;4/month or -;Bretagne
35;Medical school;Female;18;1;Good;Colocation;Yes;15;16;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
36;Medical school;Female;19;1;Good;Appartement seul;No;16;19;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
37;Medical school;Female;19;1;Good;Domicile parental;No;15;17;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
38;Foreign languages;Female;19;1;Average;Colocation;Yes;18;19;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;ne se proNoce pas;Licence;;;Bretagne
39;Foreign languages;Female;18;1;Average;Chambre chez l_habitant;No;16;18;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
40;Foreign languages;Female;18;1;Good;Appartement seul;Yes;12;;Yes;Cidre;2 a 4 fois par mois;3;Jamais;No;Yes;No;No;No;No;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;;No;Yes;Licence;once a month or -;4/month or -;Bretagne
41;Arts and communication;Female;22;4;Bad;Appartement seul;No;15;15;Yes;Biere;2 a 4 fois par mois;0;2 a 4 fois par mois;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;No;Master;15 days or +;4/month or -;France hors Bretagne
42;Arts and communication;Male;21;4;Average;Appartement en couple;No;14;15;Yes;Biere;1 fois par month or moins;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
43;Arts and communication;Female;24;2;Good;Appartement seul;Yes;18;;Yes;Champagne;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
44;Arts and communication;Female;21;4;Average;Appartement en couple;No;13;13;Yes;Biere;Au moins 4 fois par semaine;25;Au moins 4 fois par semaine;No;No;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Master;15 days or +;2/week or +;France hors Bretagne
45;Foreign languages;Female;19;1;Average;Cite Universitaire;No;14;14;Yes;Biere;Au moins 4 fois par semaine;6;1 fois par month or moins;Yes;No;No;Yes;No;No;No;Yes;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;2/week or +;France hors Bretagne
46;Medical school;Male;30;9;Good;Appartement en couple;Yes;15;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Doctorat;once a month or -;4/month or -;France hors Bretagne
47;Medical school;Female;21;4;Good;Colocation;No;15;16;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;Master;once a month or -;4/month or -;Bretagne
48;Medical school;Female;20;1;Good;Appartement seul;No;16;17;Yes;Vin;1 fois par month or moins;5;1 fois par month or moins;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
49;Medical school;Female;18;1;Average;Cite Universitaire;No;15;16;Yes;Vin;1 fois par month or moins;5;1 fois par month or moins;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
50;Foreign languages;Female;22;4;Good;Colocation;Yes;16;18;Yes;Vin;1 fois par month or moins;3;Jamais;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
51;Human sciences;Female;19;1;Good;Domicile parental;No;15;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 time per month or less;3;Never;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Brittany
52;Human sciences;Female;19;2;Good;Cite Universitaire;Yes;16;16;Yes;Biere;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
53;Foreign languages;Female;22;3;Good;Appartement en couple;Yes;14;15;Yes;Vin;2 a 4 fois par mois;4;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
54;Sport;Male;24;2;Average;Cite Universitaire;Yes;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
55;Arts and communication;Female;22;4;Good;Foyer;Yes;18;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
56;Social Sciences;Female;22;3;Good;Appartement seul;Yes;16;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;3;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Yes;No;Licence;once a month or -;4/month or -;Bretagne
57;Foreign languages;Female;23;1;Good;Colocation;Yes;15;18;Yes;Vin;2 a 3 fois par semaine;3;1 fois par month or moins;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;2/week or +;France hors Bretagne
58;Arts and communication;Female;20;3;Good;Appartement seul;Yes;16;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;5;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
59;Medical school;Male;18;1;Average;Appartement seul;No;16;17;Yes;Vin;1 fois par month or moins;1;1 fois par month or moins;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
60;Medical school;Female;18;1;Good;Appartement seul;No;16;;Yes;Vin;1 fois par month or moins;4;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
61;Medical school;Male;19;1;Good;Domicile parental;Yes;17;;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
62;Sport;Female;20;2;Good;Appartement seul;Yes;15;16;Yes;Vin;1 fois par month or moins;2;1 fois par month or moins;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
63;Human sciences;Female;21;4;Good;Appartement seul;Yes;17;17;Yes;Biere;2 a 4 fois par mois;7;2 a 4 fois par mois;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;15 days or +;4/month or -;Bretagne
64;Human sciences;Male;18;1;Good;Domicile parental;No;16;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;4;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
65;Arts and communication;Female;21;3;Bad;Appartement seul;Yes;16;18;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
66;Foreign languages;Female;21;2;Good;Appartement seul;Yes;16;16;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
67;Social Sciences;Female;23;4;Average;Appartement en couple;No;13;15;Yes;Biere;2 a 4 fois par mois;0;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
68;Arts and communication;Female;23;4;Average;Colocation;No;16;18;Yes;Biere;2 a 3 fois par semaine;3;1 fois par month or moins;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;2/week or +;Bretagne
69;Arts and communication;Female;23;3;Average;Appartement seul;No;14;15;Yes;Vin;2 a 4 fois par mois;5;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
70;Arts and communication;Female;21;4;Good;Domicile parental;No;15;15;Yes;Biere;2 a 3 fois par semaine;4;2 a 4 fois par mois;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;ne se proNoce pas;No;Master;15 days or +;2/week or +;Bretagne
71;Arts and communication;Female;20;2;Good;Appartement seul;Yes;12;19;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;ne se proNoce pas;No;No;Licence;once a month or -;4/month or -;Etranger
72;Foreign languages;Female;18;1;Average;Colocation;Yes;14;14;Yes;Biere;2 a 4 fois par mois;3;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
73;Foreign languages;Female;21;1;Good;Domicile parental;Yes;16;;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
74;Foreign languages;Female;20;2;Good;Cite Universitaire;No;16;18;Yes;Biere;2 a 4 fois par mois;4;1 fois par month or moins;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
75;Social Sciences;Female;24;5;Good;Appartement en couple;No;14;17;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Master;once a month or -;4/month or -;Bretagne
76;Foreign languages;Female;18;1;Good;Appartement seul;Yes;15;16;Yes;Biere;2 a 3 fois par semaine;4;2 a 3 fois par semaine;No;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;2/week or +;Bretagne
77;Foreign languages;Male;24;3;Good;Colocation;Yes;17;17;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 to 4 times per month;4;1 time per month or less;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France not Brittany
78;Arts and communication;Female;18;1;Good;Colocation;Yes;16;;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Ne veut pas repondre;;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
79;Medical school;Female;19;1;Good;Colocation;No;16;;Yes;Cidre;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
80;Sport;Female;18;1;Good;Domicile parental;Yes;15;16;Yes;Biere;2 a 4 fois par mois;1;2 a 4 fois par mois;No;Yes;Yes;No;Yes;Yes;No;Yes;No;Yes;No;No;No;No;Yes;No;No;;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
81;Arts and communication;Male;22;2;Average;Colocation;Yes;14;15;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
82;Social Sciences;Male;23;4;Good;Colocation;Yes;15;15;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;ne se proNoce pas;Master;once a month or -;4/month or -;France hors Bretagne
83;Human sciences;Female;22;3;Good;Domicile parental;Yes;17;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
84;Social Sciences;Female;20;3;Average;Appartement seul;No;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;France hors Bretagne
85;Human sciences;Female;22;2;Bad;Appartement seul;No;17;20;Yes;Vin;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
86;Arts and communication;Female;22;4;Bad;Colocation;No;14;14;Yes;Biere;2 a 3 fois par semaine;20;2 a 3 fois par semaine;No;Yes;No;No;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;Master;15 days or +;2/week or +;Bretagne
87;Human sciences;Male;25;4;Average;Appartement seul;No;15;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;2;2 a 4 fois par mois;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;Master;15 days or +;4/month or -;Bretagne
88;Human sciences;Female;20;2;Average;Domicile parental;Yes;14;15;Yes;Vin;2 a 4 fois par mois;4;1 fois par month or moins;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
